personne,type_personne,cas,franchise_cle,film,annee,note_tmdb,nb_votes_tmdb,popularite_tmdb,tmdb_movie_id,decennie,annee_pic,annees_apres_pic,statut_carriere
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,The Tailor of Panama,2001,6.021,535,9.7692,2575,2000s,2001,0,Pic
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter à l'école des sorciers,2001,7.898,29438,9.7692,671,2000s,2001,0,Pic
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et la Chambre des secrets,2002,7.702,23470,9.7692,672,2000s,2001,1,Post-pic récent
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et le Prisonnier d'Azkaban,2004,8.0,23037,9.7692,673,2000s,2001,3,Post-pic récent
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,The Magic Touch of Harry Potter,2004,7.7,20,9.7692,1082707,2000s,2001,3,Post-pic récent
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et la Coupe de feu,2005,7.801,22047,9.7692,674,2000s,2001,4,Post-pic récent
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et l'Ordre du Phénix,2007,7.672,20702,9.7692,675,2000s,2001,6,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,December Boys,2007,6.026,211,9.7692,4629,2000s,2001,6,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Mon fils Jack,2007,6.6,78,9.7692,25143,2000s,2001,6,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et le Prince de sang-mêlé,2009,7.681,20679,9.7692,767,2000s,2001,8,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et les Reliques de la Mort - 1ère partie,2010,7.734,20275,9.7692,12444,2010s,2001,9,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter et les Reliques de la Mort - 2ème partie,2011,8.08,21880,9.7692,12445,2010s,2001,10,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,50 Greatest Harry Potter Moments,2011,7.444,133,9.7692,483898,2010s,2001,10,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,When Harry Left Hogwarts,2011,7.2,10,9.7692,273456,2010s,2001,10,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,La Dame en noir,2012,6.141,3649,9.7692,65086,2010s,2001,11,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Daniel Radcliffe: Being Harry Potter,2012,6.6,23,9.7692,918078,2010s,2001,11,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Horns,2013,6.299,2422,9.7692,149509,2010s,2001,12,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Et (beaucoup) plus si affinités,2013,6.74,2064,9.7692,212716,2010s,2001,12,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Kill your darlings - Obsession meurtrière,2013,7.03,1406,9.7692,157370,2010s,2001,12,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Tom Felton Meets the Superfans,2015,7.4,15,9.7692,332503,2010s,2001,14,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Crazy Amy,2015,5.8,2709,9.7692,271718,2010s,2001,14,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,The Gamechangers,2015,6.0,75,9.7692,356846,2010s,2001,14,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Docteur Frankenstein,2015,5.9,2267,9.7692,228066,2010s,2001,14,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Insaisissables 2,2016,6.827,11523,9.7692,291805,2010s,2001,15,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Swiss Army Man,2016,6.927,3786,9.7692,347031,2010s,2001,15,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Imperium,2016,6.458,1483,9.7692,374617,2010s,2001,15,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Perdu à Londres,2017,5.917,132,9.7692,435218,2010s,2001,16,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,National Theatre Live: Rosencrantz & Guildenstern Are Dead,2017,6.3,10,9.7692,444450,2010s,2001,16,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Jungle,2017,6.643,2117,9.7692,390062,2010s,2001,16,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Robot Chicken : Walking Dead Special - Look Who's Walking,2017,7.2,41,9.7692,479240,2010s,2001,16,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Beast of Burden,2018,4.292,125,9.7692,454650,2010s,2001,17,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Playmobil : le film,2019,5.8,309,9.7692,366668,2010s,2001,18,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Guns Akimbo,2020,6.444,2541,9.7692,457335,2020s,2001,19,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Escape from Pretoria,2020,7.171,1469,9.7692,502425,2020s,2001,19,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Unbreakable Kimmy Schmidt : Kimmy contre le révérend,2020,6.393,168,9.7692,683287,2020s,2001,19,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Harry Potter fête ses 20 ans : Retour à Poudlard,2022,7.311,3507,9.7692,899082,2020s,2001,21,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Le secret de la cité perdue,2022,6.46,3960,9.7692,752623,2020s,2001,21,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Weird: The Al Yankovic Story,2022,6.704,596,9.7692,928344,2020s,2001,21,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,David Holmes : Le garçon qui a survécu,2023,7.1,76,9.7692,1190725,2020s,2001,22,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Merrily We Roll Along,2025,6.8,17,9.7692,1306400,2020s,2001,24,Déclin
Daniel Radcliffe,Acteur,Post-franchise,Harry Potter,Mission Pizza,2026,6.376,89,9.7692,1493859,2020s,2001,25,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter à l'école des sorciers,2001,7.898,29438,6.1978,671,2000s,2001,0,Pic
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et la Chambre des secrets,2002,7.702,23470,6.1978,672,2000s,2001,1,Post-pic récent
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et le Prisonnier d'Azkaban,2004,8.0,23037,6.1978,673,2000s,2001,3,Post-pic récent
Emma Watson,Acteur,Post-franchise,Harry Potter,The Magic Touch of Harry Potter,2004,7.7,20,6.1978,1082707,2000s,2001,3,Post-pic récent
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et la Coupe de feu,2005,7.801,22047,6.1978,674,2000s,2001,4,Post-pic récent
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et l'Ordre du Phénix,2007,7.672,20702,6.1978,675,2000s,2001,6,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,L'École de tous les talents,2008,6.356,271,6.1978,20497,2000s,2001,7,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,La Légende de Despereaux,2008,6.146,1005,6.1978,10199,2000s,2001,7,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et le Prince de sang-mêlé,2009,7.681,20679,6.1978,767,2000s,2001,8,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et les Reliques de la Mort - 1ère partie,2010,7.734,20275,6.1978,12444,2010s,2001,9,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter et les Reliques de la Mort - 2ème partie,2011,8.08,21880,6.1978,12445,2010s,2001,10,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,50 Greatest Harry Potter Moments,2011,7.444,133,6.1978,483898,2010s,2001,10,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,When Harry Left Hogwarts,2011,7.2,10,6.1978,273456,2010s,2001,10,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,My Week with Marilyn,2011,6.677,1354,6.1978,75900,2010s,2001,10,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Le Monde de Charlie,2012,7.802,11150,6.1978,84892,2010s,2001,11,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Daniel Radcliffe: Being Harry Potter,2012,6.6,23,6.1978,918078,2010s,2001,11,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,The Bling Ring,2013,5.4,3136,6.1978,96936,2010s,2001,12,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,C'est la fin,2013,6.236,6797,6.1978,109414,2010s,2001,12,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Noé,2014,5.678,6579,6.1978,86834,2010s,2001,13,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Régression,2015,5.58,1884,6.1978,241257,2010s,2001,14,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Colonia,2016,7.258,1983,6.1978,318781,2010s,2001,15,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,La Belle et la Bête,2017,6.968,15968,6.1978,321612,2010s,2001,16,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,The Circle,2017,5.523,4578,6.1978,339988,2010s,2001,16,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Howard,2018,6.8,54,6.1978,512191,2010s,2001,17,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Les Filles du docteur March,2019,7.855,6791,6.1978,331482,2010s,2001,18,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,An Audience with Adele,2021,8.4,42,6.1978,901047,2020s,2001,20,Déclin
Emma Watson,Acteur,Post-franchise,Harry Potter,Harry Potter fête ses 20 ans : Retour à Poudlard,2022,7.311,3507,6.1978,899082,2020s,2001,21,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter à l'école des sorciers,2001,7.898,29438,3.4017,671,2000s,2001,0,Pic
Rupert Grint,Acteur,Post-franchise,Harry Potter,Plein gaz,2002,3.455,88,3.4017,21605,2000s,2001,1,Post-pic récent
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et la Chambre des secrets,2002,7.702,23470,3.4017,672,2000s,2001,1,Post-pic récent
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et le Prisonnier d'Azkaban,2004,8.0,23037,3.4017,673,2000s,2001,3,Post-pic récent
Rupert Grint,Acteur,Post-franchise,Harry Potter,The Magic Touch of Harry Potter,2004,7.7,20,3.4017,1082707,2000s,2001,3,Post-pic récent
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et la Coupe de feu,2005,7.801,22047,3.4017,674,2000s,2001,4,Post-pic récent
Rupert Grint,Acteur,Post-franchise,Harry Potter,Leçons de conduite,2006,6.113,168,3.4017,11404,2000s,2001,5,Post-pic récent
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et l'Ordre du Phénix,2007,7.672,20702,3.4017,675,2000s,2001,6,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Cherrybomb,2009,5.5,122,3.4017,40850,2000s,2001,8,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et le Prince de sang-mêlé,2009,7.681,20679,3.4017,767,2000s,2001,8,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Petits meurtres à l'Anglaise,2010,6.442,782,3.4017,44147,2010s,2001,9,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et les Reliques de la Mort - 1ère partie,2010,7.734,20275,3.4017,12444,2010s,2001,9,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter et les Reliques de la Mort - 2ème partie,2011,8.08,21880,3.4017,12445,2010s,2001,10,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,50 Greatest Harry Potter Moments,2011,7.444,133,3.4017,483898,2010s,2001,10,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,When Harry Left Hogwarts,2011,7.2,10,3.4017,273456,2010s,2001,10,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Into the White,2012,6.872,323,3.4017,78215,2010s,2001,11,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Daniel Radcliffe: Being Harry Potter,2012,6.6,23,3.4017,918078,2010s,2001,11,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Charlie Countryman,2013,6.4,649,3.4017,41602,2010s,2001,12,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,CBGB,2013,6.33,197,3.4017,111479,2010s,2001,12,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Postman Pat: The Movie,2014,5.2,53,3.4017,245685,2010s,2001,13,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter: The Making of Diagon Alley,2014,7.397,39,3.4017,500008,2010s,2001,13,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Moonwalkers,2015,6.147,388,3.4017,272548,2010s,2001,14,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Tom Felton Meets the Superfans,2015,7.4,15,3.4017,332503,2010s,2001,14,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Harry Potter fête ses 20 ans : Retour à Poudlard,2022,7.311,3507,3.4017,899082,2020s,2001,21,Déclin
Rupert Grint,Acteur,Post-franchise,Harry Potter,Knock at the Cabin,2023,6.2,3061,3.4017,631842,2020s,2001,22,Déclin
Robert Pattinson,Acteur,Post-franchise,Twilight,Vanity Fair : La Foire aux vanités,2004,5.791,357,4.8889,11632,2000s,2005,-1,Avant pic
Robert Pattinson,Acteur,Post-franchise,Twilight,L'Anneau sacré,2004,6.25,156,4.8889,11188,2000s,2005,-1,Avant pic
Robert Pattinson,Acteur,Post-franchise,Twilight,Harry Potter et la Coupe de feu,2005,7.801,22047,4.8889,674,2000s,2005,0,Pic
Robert Pattinson,Acteur,Post-franchise,Twilight,The Haunted Airman,2006,4.9,29,4.8889,21505,2000s,2005,1,Post-pic récent
Robert Pattinson,Acteur,Post-franchise,Twilight,The Bad Mother's Handbook,2007,7.0,18,4.8889,50364,2000s,2005,2,Post-pic récent
Robert Pattinson,Acteur,Post-franchise,Twilight,How to Be,2008,4.8,40,4.8889,19713,2000s,2005,3,Post-pic récent
Robert Pattinson,Acteur,Post-franchise,Twilight,Little Ashes,2008,5.9,132,4.8889,31299,2000s,2005,3,Post-pic récent
Robert Pattinson,Acteur,Post-franchise,Twilight,"Twilight, chapitre 1 : Fascination",2008,6.279,14338,4.8889,8966,2000s,2005,3,Post-pic récent
Robert Pattinson,Acteur,Post-franchise,Twilight,"Twilight, chapitre 2 : Tentation",2009,5.99,9706,4.8889,18239,2000s,2005,4,Post-pic récent
Robert Pattinson,Acteur,Post-franchise,Twilight,Remember me,2010,7.099,3698,4.8889,23169,2010s,2005,5,Post-pic récent
